Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
298743,12280,39270,1374872,46024000,111.960260586,276.704481701,1171.98879552,372.853721254,158661029.714504,172556.344416438,5.79532095676,50.6784569124,298736,24.3290170209,103.087573405,298741,7.60755303165,58.7802585824,339420,1086556,41105.5656534,131450.778763,919.478283641,572.755140771,328048.451279,3,919.496120272,111.960260586,1171.98879552,47398872,51550,158661029,12279,0,0,0,0,live
44547,284,7708,34192,10259126,120.394366197,295.40887297,1330.97119875,83.4801951824,231066469.1225,179406.020607448,5.57464647729,290.137546084,44534,157.363957597,1536.82252503,44505,5.77462047489,296.187685899,6976,143744,6375.28902058,173030.731587,1287.95883898,245.025446948,60037.4696519,27,1288.11999499,120.394366197,1330.97119875,10293318,7992,231066469,283,0,0,0,0,live
298485,10068,43806,1492926,56097026,148.284266985,329.497969543,1280.57859654,238.588314301,192940857.999564,180491.481984019,5.54053050693,66.1642112217,298485,29.6498460316,151.35473492,298459,6.81335463988,74.4179797107,280132,1211640,33730.338208,146761.143776,1068.97618561,511.26737155,261394.325212,4,1068.99602777,148.284266985,1280.57859654,57589952,53874,192940857,10067,0,0,0,0,live
111161,238,9182,29814,12236774,125.268907563,307.924115192,1332.69157046,69.754557897,110349744.964511,84741.950864062,11.8017836288,529.02705755,111161,469.033755274,3309.61391428,111115,12.1027121229,536.869578226,5336,126952,2141.03867364,82600.9121904,1302.18925804,207.438991505,43030.9351967,38,1302.32749469,125.268907563,1332.69157046,12266588,9420,110349744,237,0,0,0,0,live
293939,9774,35794,498946,47637347,51.0482913853,128.310845606,1330.87520255,84.7209529018,163762865.764665,155025.362405125,6.45069897075,161.110414916,293939,30.0766397217,348.74310566,293756,8.20707959657,188.178538368,239580,871600,33251.7971416,121773.565264,1056.3644144,533.986218972,285141.282052,3,1056.38759656,51.0482913853,1330.87520255,48136293,45568,163762865,9773,0,0,0,0,live
299173,5652,24706,704120,31870362,124.57891012,296.191234733,1289.98470007,218.010996477,108881757.377838,101473.060737433,9.85515696544,141.029101053,299173,52.9416032561,323.810933782,299170,12.1096943938,157.130336698,160128,702104,18892.0791649,82580.9815725,1073.01192398,510.679231493,260793.277478,4,1073.04726925,124.57891012,1289.98470007,32574482,30358,108881757,5651,0,0,0,0,live
40934,302,8211,36546,10925224,121.013245033,297.658413934,1330.55949336,87.0962001123,267791322.616895,207968.925587531,4.80897556391,333.613417765,40933,135.990033223,1773.16546978,40892,4.98075517661,340.238867057,7264,160740,7377.7300044,200591.195583,1287.6564482,245.983346787,60507.8068966,27,1287.80770586,121.013245033,1330.55949336,10961770,8513,267791322,301,0,0,0,0,live
299384,10572,46381,1507814,59609217,142.623344684,321.822767508,1285.20767124,229.6364748,204142609.491489,190233.947037918,5.25677763731,66.1723543175,299381,28.3209724719,152.50664205,299382,6.45498059508,74.1148162926,296144,1297636,35312.5083505,154921.438687,1073.11388138,509.429529488,259518.445514,4,1073.13272347,142.623344684,1285.20767124,61117031,56953,204142609,10571,0,0,0,0,live
296869,5614,24228,671924,31331454,119.687210545,288.812834736,1293.1919267,211.304898585,107803030.966521,100522.452664306,9.94835963942,144.391572424,296869,52.8895421343,329.791064205,296867,12.2535600776,161.19658633,160724,693012,18910.6979846,81611.7546797,1072.42793955,512.122055168,262268.99939,4,1072.46387642,119.687210545,1293.1919267,32003378,29842,107803030,5613,0,0,0,0,live
295720,10572,37203,536968,49522415,50.7915247824,127.184180508,1331.14036502,82.3688403088,169279666.576491,161554.849181658,6.1899778122,151.951749649,295720,27.9746476208,323.192350295,295560,7.94473415408,178.75082634,272196,962088,35750.0338158,125804.815366,1047.81813044,539.763245166,291344.360832,3,1047.84006279,50.7915247824,1331.14036502,50059383,47775,169279666,10571,0,0,0,0,live
181680,414,7584,41890,10095287,101.183574879,267.509589103,1331.12961498,82.9206650106,55796879.1281374,44022.4570673712,22.7185194448,751.994435477,181680,439.9031477,3285.01270118,181630,23.9522616379,773.996809103,10464,173088,2278.7318362,41743.7252312,1267.47268409,290.631929513,84466.9184523,18,1267.63115779,101.183574879,1331.12961498,10137177,7998,55796879,413,0,0,0,0,live
296597,5946,25197,727284,32541602,122.314833502,292.861343124,1291.48716117,213.893915955,112168653.088197,105001.062047155,9.5240190097,118.041518356,296597,49.8901597981,266.674004689,296595,11.771511351,132.063035517,169308,713736,20047.4043905,84953.6576567,1068.26454534,514.340381941,264546.028495,4,1068.29884725,122.314833502,1291.48716117,33268886,31143,112168653,5945,0,0,0,0,live
298967,11238,46562,1566126,59611565,139.359850507,317.314491189,1280.26212362,238.95670778,204630246.816538,193332.374476113,5.17252893649,56.6615570912,298965,26.6054106968,126.762085871,298965,6.42093168102,64.1906904575,321836,1331900,37589.4329474,155742.941529,1058.43821041,519.08228914,269446.422899,4,1058.45652249,139.359850507,1280.26212362,61177691,57800,204630246,11237,0,0,0,0,live
