NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
1.087705,6.173007,9.756593,3.948264,0.004227,0.000346,0.025727,0.000744,0.024839,8.572374,8.645691,live
0.610371,4.018287,9.914127,2.804126,0.008301,0.000787,0.040299,0.001535,0.051312,8.231452,9.353171,live
0.678900,4.392742,9.866404,3.241826,0.009280,0.000650,0.037079,0.001134,0.060784,7.784258,9.982268,live
1.439628,7.171981,9.561414,4.951093,0.004775,0.000232,0.026161,0.000470,0.028683,8.305034,9.005985,live
1.213297,6.550582,9.651312,4.443655,0.003702,0.000186,0.020306,0.000377,0.022230,8.343307,8.975035,live
4.174382,10.000000,2.587097,9.387953,0.010011,0.000153,0.016265,0.000185,0.127871,3.478750,9.745294,live
1.004544,5.851021,8.847793,7.038250,0.004544,0.000153,0.018699,0.000267,0.029471,7.134473,10.000000,live
0.392194,2.600446,10.000000,1.546785,0.005127,0.000684,0.021370,0.001220,0.033058,7.932412,9.858445,live
1.537861,7.573745,10.000000,1.375503,0.008140,0.001289,0.600341,0.009497,0.040499,10.000000,2.785856,live
0.742680,4.764189,9.864794,3.162347,0.018287,0.000965,0.088199,0.001835,0.113288,8.203868,9.356804,live
0.503739,3.352694,9.941542,2.522386,0.010107,0.000648,0.040503,0.001141,0.065166,7.807628,9.987834,live
0.559438,3.664446,9.909727,2.852025,0.006250,0.000408,0.025384,0.000745,0.040691,7.829770,9.942475,live
0.693326,4.471915,9.852942,3.354338,0.009610,0.000663,0.038408,0.001157,0.062940,7.777895,9.987100,live
1.293872,6.810216,10.000000,1.493341,0.007475,0.001402,0.413304,0.009049,0.037326,10.000000,3.209431,live
1.914831,8.252998,9.497710,4.801937,0.011176,0.000733,0.157740,0.002373,0.059062,9.222642,6.664010,live
0.750287,4.754362,9.753279,3.955751,0.010887,0.000585,0.043892,0.001019,0.071095,7.734711,9.987059,live
0.845419,5.178431,9.767577,3.872219,0.014195,0.001001,0.067864,0.001905,0.088141,8.128035,9.433603,live
1.018949,5.901985,9.706069,4.115436,0.007029,0.000413,0.037660,0.000829,0.042444,8.316078,9.053111,live
1.635734,7.660113,9.484604,4.709698,0.009192,0.000635,0.126163,0.002035,0.048680,9.174894,6.724974,live
1.068727,6.087844,8.922492,6.830853,0.005280,0.000209,0.022572,0.000375,0.033658,7.280966,10.000000,live
0.638528,4.373868,10.000000,1.566944,0.010443,0.001502,0.177025,0.005394,0.054463,9.745500,5.503656,live
0.721133,4.629378,9.781885,3.829380,0.010772,0.000693,0.040693,0.001172,0.071937,7.593443,10.000000,live
0.725781,4.634310,9.843828,3.424850,0.010062,0.000678,0.041403,0.001200,0.065270,7.846609,9.891862,live
0.583822,3.994668,9.869343,3.225550,0.013313,0.000816,0.054153,0.001447,0.086662,7.806465,9.978768,live
0.800941,5.018980,9.866173,3.085672,0.004480,0.000382,0.028559,0.000839,0.026092,8.691600,8.444590,live
0.737438,4.703396,9.775417,3.875469,0.010885,0.000678,0.042414,0.001164,0.071903,7.668264,10.000000,live
1.178755,6.509365,9.562234,5.163291,0.016790,0.000708,0.067166,0.001272,0.109868,7.672140,10.000000,live
0.855143,5.242980,9.765882,3.987119,0.012565,0.000770,0.055050,0.001400,0.079948,7.952193,9.721372,live
0.718689,4.593297,9.768812,3.852839,0.010274,0.000561,0.040797,0.000971,0.067434,7.703759,10.000000,live
0.778207,4.928906,9.849046,3.297975,0.018990,0.000962,0.093698,0.001847,0.116962,8.241870,9.289303,live
